"ID","quantity","glassWidth","glassLength","glassType","location",
"614","1","15","13","174","38",
"615","1","9","22","199","13",
"616","1","10","17","199","13",
"617","1","10","12","197","13",
"618","1","8","24","199","13",
"619","1","10","19","199","13",
"620","1","9","24","199","13",
"621","1","24","21","440","31",
"622","1","7","14","192","37",
"623","1","12","10","192","37",
"624","1","11","9","200","37",
"625","1","11","8","200","37",
"626","1","6","36","1","7",
"627","1","9","17","201","14",
"628","1","5","36","200","14",
"629","1","11","17","368","14",
"630","1","13","15","32","20",
"631","1","9","17","31","20",
"632","1","12","8","213","20",
"633","1","16","19","32","20",
"634","1","18","15","51","20",
"635","1","17","10","33","20",
"636","1","9","14","33","20",
"637","1","12","12","152","20",
"638","1","9","18","38","20",
"639","1","7","14","37","20",
"640","1","11","17","51","20",
"641","1","14","12","45","20",
"642","1","12","17","33","20",
"643","1","12","12","441","20",
"644","1","14","12","442","20",
"655","1","6","14","444","20",
"646","1","15","7","48","20",
"647","1","11","16","223","20",
"648","1","5","18","38","20",
"649","1","5","17","38","20",
"650","1","9","8","237","20",
"651","1","12","13","443","20",
"652","1","9","15","46","20",
"653","1","14","7",,"20",
"654","1","14","10","153","20",
"656","1","12","9","52","20",
"657","1","7","10","153","20",
"658","1","8","10","38","20",
"659","1","6","18","445","20",
"660","1","6","12","441","20",
"661","1","7","13","170","20",
"662","1","17","14","223","20",
"663","1","16","13","223","20",
"664","1","10","8","49","20",
"665","1","14","9","49","20",
"666","1","11","13","213","20",
"667","1","10","7","25","20",
"668","1","8","9","49","20",
"669","1","9","14","230","20",
"670","1","8","7","52","20",
"671","1","6","14","36","20",
"672","1","11","6","221","20",
"673","1","9","5","213","20",
"674","1","10","16","445","20",
"675","1","9","12","191","13",
"676","1","8","13","198","13",
"677","1","8","9","446","43",
"678","1","9","35","11","27",
"682","1","6","8","376","37",
"684","1","9","7","174","38",
"685","1","10","11","198","37",
"686","1","8","8","198","37",
"687","1","10","18","377","37",
"688","1","10","12","293","42",
"689","1","12","7","368","37",
"690","1","9","9","199","12",
"691","1","22","24","199","12",
"692","1","16","24","196","12",
"693","1","18","20","195","12",
"694","1","12","18","190","12",
"695","1","17","12","190","12",
"696","1","16","31","383","36",
"697","1","12","12","202","37",
"698","1","17","12","164","37",
"699","1","24","48","162","12",
"700","1","24","38","162","12",
"701","1","24","48","294","42",
"702","1","12","36","18","30",
"703","1","14","22","395","22",
"704","1","24","21","112","17",
"705","1","15","21","109","17",
"706","1","14","35","18","30",
"707","4","24","24","18","30",
"708","5","9","48","18","30",
"709","1","16","11","18","30",
"710","3","24","10","18","30",
"711","1","12","24","18","30",
"712","1","21","20","18","30",
"713","1","11","20","18","30",
"714","1","18","12","18","30",
"715","1","11","16","18","30",
"716","1","18","11","18","30",
