"ID","symbol","color","description","manufacturer","glassImage",
"354","693-74sf","pink","crystal opal / pink / aqua","spectrum","[object Image]",
"355","br/609-2","pink","pink / white / clear baroque","spectrum","[object Image]",
"356","i/395-1s","pink","white / pink iridescent","spectrum","[object Image]",
"357","i/609-8s","pink","clear / white / pink wisy iridescent","spectrum","[object Image]",
"358","spirit/4941sf","pink","crystal clear / ivory / pink / concord ""Valhalla"" ","spectrum","[object Image]",
"359","spirit/694-7sf","pink","crystal opal / pink / concord ""Geneva""","spectrum","[object Image]",
"360","be2302","pink","white opal / pink opal streaky","bullseye","[object Image]",
"361","be1311","pink","cranberry pink","bullseye","[object Image]",
"362","be1428","pink","light violet","bullseye","[object Image]",
"363","be2304","pink","white opal / lavendar blue opal fusible","bullseye","[object Image]",
"364","be2128","blue","royal purple / powder blue fusible","bullseye","[object Image]",
"365","be6323","red","red","bullseye",,
"366","be2109","white","white / dark brown streaky","bullseye","[object Image]",
"367","be2129","gray","charcoal graywhite opal","bullseye","[object Image]",
"368","be2209","brown","dark brown / white","bullseye","[object Image]",
"369","be0120","yellow","canary yellow","bullseye","[object Image]",
"370","be0124","red","red opal","bullseye","[object Image]",
"371","be1114","blue","deep royal blue","bullseye","[object Image]",
"372","be1116","blue","turquoise blue","bullseye","[object Image]",
"374","be1807","green","grass green tint","bullseye","[object Image]",
"375","be1129","gray","charcoal gray","bullseye","[object Image]",
"376","be1137","amber","medium amber","bullseye","[object Image]",
"377","be1437","amber","light amber","bullseye","[object Image]",
"378","ko249","blue","blue / purple / opal","kokomo",,
"379","ko337.1","blue","pale blue / white translucent","kokomo",,
"380","ko13g","green","med amber / lime green/ white granitekokomo","kokomo",,
"381","ko70s","blue","med blue opalume / green / dk purple ","kokomo",,
"382","ko 142","blue","blue / green / clear","kokomo",,
"383","ko11ll","amber","med amber streaky","kokomo",,
"384","ko145","amber","dk amber / opal","kokomo",,
"385","ko86p","purple","dk green / pink / opal","kokomo",,
"386","142.8sf","purple","pale purple solid transparent","spectrum",,
"387","140.8v","purple","pale purple vecchio","spectrum","[object Image]",
"388","140.8w","purple","pale purple waterglass","spectrum","[object Image]",
"389","142a","purple","lt purple artique","spectrum","[object Image]",
"390","142rr","purple","lt purple rough rolled","spectrum","[object Image]",
"391","142s","purple","lt purple solid transparent","spectrum","[object Image]",
"392","142sf","purple","lt purple solid transparent","spectrum","[object Image]",
"393","142w","purple","lt purple waterglass","spectrum","[object Image]",
"394","146rr","purple","dk purple rough rolled ","spectrum","[object Image]",
"395","146sf","purple","dk purple solid transparent","spectrum","[object Image]",
"396","146w","purple","dk purple waterglass","spectrum","[object Image]",
"397","240-72s","purple","mauve solid opalescent","spectrum","[object Image]",
"398","240-72sf","purple","mauve solid opalescent","spectrum","[object Image]",
"399","240-74sf","purple","lilac solid opalescent","spectrum","[object Image]",
"400","345-2s","purple","white / lt purple","spectrum","[object Image]",
"401","347-1s","purple","pale purple / white","spectrum","[object Image]",
"402","349-1s","purple","pale purple . white wispy","spectrum","[object Image]",
"403","349-2s","purple","lt purple / white wispy","spectrum","[object Image]",
"404","349-6s","purple","dk purple / white wispy","spectrum","[object Image]",
"405","444-1w","purple","deep violet / pale purple waterglass","spectrum","[object Image]",
"406","534-2rr","purple","violet rough rolled","spectrum","[object Image]",
"407","534-2sf","purple","violet solid transparent","spectrum","[object Image]",
"408","534-2w","purple","violet waterglass ","spectrum","[object Image]",
"409","543-1sf","purple","light grape","spectrum","[object Image]",
"410","543-2a","purple","grape artique","spectrum","[object Image]",
"411","543-2rr","purple","grape rough rolled","spectrum","[object Image]",
"412","543-2sf","purple","grape solid transparent","spectrum","[object Image]",
"413","641-7s","purple","purple / amber / white","spectrum","[object Image]",
"414","843-71s","purple","pale lavender / white","spectrum","[object Image]",
"415","br/604-1","purple","pale purple / white on clear baroque","spectrum","[object Image]",
"416","br/amethyst","purple","amethyst / clear baroque","spectrum","[object Image]",
"417","i/347-1s","purple","pale purple / white isidescent","spectrum","[object Image]",
"418","i/349-6s","purple","dk purple / white wispy iridescent","spectrum","[object Image]",
"419","i543-2sf","purple","grape solid transparent iridescent","spectrum","[object Image]",
"420","i/843-92s","purple","lt grape / white wispy iridescent","spectrum","[object Image]",
"421","oa/244-54sf","purple","mauve / dk purple ""orchid""","spectrum","[object Image]",
"422","sc/140-8w","purple","silvercoat ""aurorarose""","spectrum","[object Image]",
"423","sc/543-2w","purple","silvercoat ""ultraviolet""","spectrum","[object Image]",
"424","br/burgandy","red","burgandy / clear baroque","spectrum","[object Image]",
"425","209fl","white","firelight white","spectrum","[object Image]",
"426","209k","white","crystal opal krinkle","spectrum","[object Image]",
"427","209s","whiye","firelight smooth","spectrum","[object Image]",
"428","209sf","white","firelight smooth","spectrum","[object Image]",
"429","210-71sf","white","ivory solid opalescent","spectrum","[object Image]",
"430","308s","white","clear / white","spectrum","[object Image]",
"431","309s","white","clear / white wispy","spectrum","[object Image]",
"432","6000-81cc","white","clear / white ""pearl""","spectrum","[object Image]",
"433","br/308","white","white / clear baroque","spectrum","[object Image]",
"434","140.8sf","purple","pale purple solid transparent","spectrum","[object Image]",
"435","528-4w","green","olive green waterglass","spectrum","[object Image]",
"439","",,,,,
"440","br/clear","clear","Clear baroque","spectrum","[object Image]",
"441","be1426","green","spring green","bullseye","[object Image]",
"442","be1107","green","light green","bullseye","[object Image]",
"443","be1417","green","emerald green","bullseye","[object Image]",
